year,month,pdo
1980,1,0.57
1980,2,0.91
1980,3,1.01
1980,4,1.08
1980,5,0.8
1980,6,-0.01
1980,7,0.43
1980,8,0.5
1980,9,0.52
1980,10,1.41
1980,11,1.35
1980,12,1.01
1981,1,1.43
1981,2,1.37
1981,3,1.31
1981,4,1.15
1981,5,1.17
1981,6,1.78
1981,7,1.19
1981,8,0.44
1981,9,0.98
1981,10,0.54
1981,11,0.87
1981,12,1.0
1982,1,0.44
1982,2,0.18
1982,3,0.15
1982,4,-0.17
1982,5,-0.77
1982,6,-0.25
1982,7,0.97
1982,8,0.68
1982,9,1.24
1982,10,0.78
1982,11,0.35
1982,12,0.89
1983,1,0.91
1983,2,1.27
1983,3,2.01
1983,4,1.68
1983,5,1.16
1983,6,1.79
1983,7,2.31
1983,8,1.54
1983,9,1.14
1983,10,1.3
1983,11,1.68
1983,12,2.12
1984,1,1.69
1984,2,1.36
1984,3,1.73
1984,4,1.11
1984,5,0.83
1984,6,0.31
1984,7,0.52
1984,8,0.65
1984,9,0.85
1984,10,0.89
1984,11,1.02
1984,12,1.0
1985,1,1.3
1985,2,0.81
1985,3,0.22
1985,4,-0.07
1985,5,-0.59
1985,6,0.28
1985,7,1.05
1985,8,0.7
1985,9,0.81
1985,10,0.88
1985,11,0.26
1985,12,0.85
1986,1,1.41
1986,2,1.76
1986,3,1.98
1986,4,1.48
1986,5,0.82
1986,6,0.78
1986,7,1.5
1986,8,0.67
1986,9,0.81
1986,10,1.46
1986,11,2.06
1986,12,2.0
1987,1,1.66
1987,2,1.63
1987,3,1.53
1987,4,1.48
1987,5,0.95
1987,6,0.43
1987,7,1.67
1987,8,2.07
1987,9,1.87
1987,10,1.22
1987,11,1.55
1987,12,1.3
1988,1,0.45
1988,2,0.42
1988,3,0.52
1988,4,0.51
1988,5,0.3
1988,6,0.36
1988,7,0.4
1988,8,-0.38
1988,9,-0.29
1988,10,0.19
1988,11,0.37
1988,12,0.19
1989,1,-0.79
1989,2,-1.18
1989,3,-0.94
1989,4,-0.08
1989,5,-0.04
1989,6,0.33
1989,7,0.71
1989,8,0.05
1989,9,-0.16
1989,10,0.03
1989,11,-0.35
1989,12,0.08
1990,1,-0.3
1990,2,-0.92
1990,3,-0.88
1990,4,-0.17
1990,5,-0.38
1990,6,-0.26
1990,7,0.1
1990,8,0.24
1990,9,0.49
1990,10,-0.24
1990,11,-0.76
1990,12,-1.34
1991,1,-1.1
1991,2,-0.57
1991,3,-0.64
1991,4,-1.06
1991,5,-1.06
1991,6,-1.41
1991,7,-0.56
1991,8,0.21
1991,9,0.97
1991,10,1.0
1991,11,1.15
1991,12,0.34
1992,1,0.22
1992,2,0.34
1992,3,0.37
1992,4,0.8
1992,5,1.3
1992,6,1.66
1992,7,1.95
1992,8,1.48
1992,9,1.17
1992,10,1.69
1992,11,1.72
1992,12,0.77
1993,1,0.15
1993,2,0.35
1993,3,0.49
1993,4,1.16
1993,5,1.7
1993,6,1.96
1993,7,1.32
1993,8,1.91
1993,9,1.35
1993,10,1.55
1993,11,1.28
1993,12,0.59
1994,1,0.87
1994,2,0.49
1994,3,0.51
1994,4,0.73
1994,5,0.46
1994,6,0.42
1994,7,-0.05
1994,8,-0.38
1994,9,-0.34
1994,10,-0.25
1994,11,-1.1
1994,12,-1.51
1995,1,-0.34
1995,2,0.4
1995,3,0.73
1995,4,0.76
1995,5,0.97
1995,6,1.15
1995,7,1.44
1995,8,0.4
1995,9,1.7
1995,10,1.1
1995,11,0.69
1995,12,0.94
1996,1,1.05
1996,2,1.03
1996,3,1.01
1996,4,1.51
1996,5,1.93
1996,6,1.42
1996,7,0.98
1996,8,0.11
1996,9,0.9
1996,10,1.1
1996,11,0.88
1996,12,0.39
1997,1,0.67
1997,2,0.57
1997,3,0.69
1997,4,0.71
1997,5,1.29
1997,6,2.35
1997,7,1.57
1997,8,2.58
1997,9,2.1
1997,10,2.01
1997,11,1.77
